"Roma Fiumicino","New York John F Kennedy Intl","Usa","688.442"
"Milano Malpensa","New York John F Kennedy Intl","Usa","686.891"
"Milano Malpensa","Dubai","United Arab Emirates","660.807"
"Roma Fiumicino","Tel Aviv Yafo Ben Gurion Intl","Israele","637.820"
"Roma Fiumicino","Dubai","United Arab Emirates","622.806"
"Roma Fiumicino","Zurich","Switzerland","478.411"
"Roma Fiumicino","Moscow Sheremetyevo","Russia","478.203"
"Milano Malpensa","Istanbul Ataturk","Turkey","392.078"
"Roma Fiumicino","Abu Dhabi International","United Arab Emirates","380.303"
"Milano Malpensa","Moscow Sheremetyevo","Russia","373.473"
"Roma Fiumicino","Seoul","South Korea (Republic)","358.888"
"Roma Fiumicino","Geneva Cointrin","Switzerland","351.652"
"Roma Fiumicino","Istanbul Ataturk","Turkey","348.219"
"Roma Fiumicino","Buenos Aires Ezeiza","Argentine","331.479"
"Roma Fiumicino","Tirana Rinas","Albania","323.453"
"Roma Fiumicino","Doha","Qatar","321.158"
"Roma Fiumicino","Toronto Pearson International","Canada","316.130"
"Milano Malpensa","Doha","Qatar","315.078"
"Milano Malpensa","Tel Aviv Yafo Ben Gurion Intl","Israele","277.830"
"Venezia","Istanbul Ataturk","Turkey","269.860"
"Roma Fiumicino","Cairo International","Egypt","269.181"
"Milano Malpensa","Tirana Rinas","Albania","266.938"
"Roma Fiumicino","Beijing Capital","China","250.009"
"Roma Fiumicino","Atlanta William B Hartsfield","Usa","236.016"
"Roma Fiumicino","Tunis Carthage","Tunisia","225.626"
"Venezia","Dubai","United Arab Emirates","224.749"
"Milano Malpensa","Abu Dhabi International","United Arab Emirates","220.537"
"Roma Fiumicino","Chicago O'Hare International","Usa","219.454"
"Milano Malpensa","Zurich","Switzerland","216.711"
"Venezia","Zurich","Switzerland","216.036"
"Roma Fiumicino","Sao Paulo Guarulhos Intl","Brazil","207.815"
"Milano Malpensa","Cairo International","Egypt","207.253"
"Roma Fiumicino","Istanbul Sabiha","Turkey","206.362"
"Roma Fiumicino","Tokyo Narita","Japan","198.923"
"Roma Fiumicino","Oslo Metropolitan Area","Norway","184.878"
"Bologna","Istanbul Ataturk","Turkey","178.804"
"Milano Malpensa","Hong Kong International","Hong Kong","175.862"
"Roma Fiumicino","Beirut International","Lebanon","173.209"
"Venezia","Moscow Sheremetyevo","Russia","171.133"
"Bologna","Dubai","United Arab Emirates","170.291"
"Roma Fiumicino","Casablanca Mohamed V","Morocco","169.390"
"Bologna","Casablanca Mohamed V","Morocco","165.925"
"Firenze","Zurich","Switzerland","163.236"
"Roma Fiumicino","Miami International","Usa","162.858"
"Roma Fiumicino","Belgrade Beograd","Serbia","161.012"
"Milano Malpensa","Sao Paulo Guarulhos Intl","Brazil","159.268"
"Roma Fiumicino","Montreal Dorval","Canada","157.409"
"Roma Fiumicino","Philadelphia International","Usa","156.641"
"Bologna","Moscow Sheremetyevo","Russia","155.366"
