partenza,destinazione,frequenza
Arbatax (OG),Genova,bisettimanale
Arbatax (OG),Genova,bisettimanale
Arbatax (OG),Livorno,settimanale
Brindisi,Catania,giornaliera
Brindisi,Catania,trisettimanale
Cagliari,Civitavecchia (RM),bisettimanale
Cagliari,Civitavecchia (RM),n.d.
Cagliari,Livorno,pentasettimanale
Cagliari,Napoli,bisettimanale
Cagliari,Vado Ligure,bisettimanale
Catania,Genova,quadrisettimanale
Catania,Livorno-Genova,trisettimanale
Catania,Livorno,trisettimanale
Catania,Napoli,giornaliera
Catania,Ravenna,trisettimanale
Catania,Ravenna,settimanale
Catania,Salerno,giornaliera
Civitavecchia (RM),Olbia,n.d.
Civitavecchia (RM),Olbia,n.d.
Civitavecchia (RM),Palermo,settimanale
Civitavecchia (RM),Porto Torres,n.d.
Civitavecchia (RM),Termini Imerese (PA),bisettimanale
Civitavecchia (RM),Trapani,n.d.
Genova,Olbia,trisettimanale
Genova,Olbia,n.d.
Genova,Porto Torres (SS),n.d.
Genova,Porto Torres (SS),giornaliera
Genova,Palermo,esasettimanale
Golfo Aranci (OT),Livorno,stagionale
Livorno,Olbia,giornaliera
Livorno,Olbia,giornaliera
Livorno,Olbia,settimanale
Messina,Reggio Calabria,giornaliera
Messina,Salerno,bisettimanale
Messina,Villa San Giovanni (RC),giornaliera
Messina,Villa San Giovanni (RC),giornaliera
Messina,Villa San Giovanni (RC),giornaliera
Napoli,Palermo,giornaliera
Napoli,Palermo,giornaliera
Olbia,Piombino (LI),giornaliera
Palermo,Salerno,bisettimanale
Reggio Calabria,Tremestieri (ME),giornaliera
Cagliari,Palermo,settimanale
Marsala,Mazara del Vallo,giornaliera
